edge	sum_in	sum_out
3482	7.39465	19.2331
2777	7.97384	33.3148
3360	19.8432	82.9051
1117	0.365409	3.94809
205	147.395	84.1228
2425	1.8721	1.06846
679	17.8011	10.1597
2752	31.8972	18.2047
2885	1.85456	10.6471
2982	2.01239	11.5532
1288	0.129217	0.939053
338	1.68621	13.6681
1004	1.86352	15.1053
1841	0.0958203	0.931678
1318	0.280276	4.14139
1752	1.50238	5.8835
2973	5.16773	10.3088
2044	19.0376	49.5159
2447	6.12888	15.9409
776	1.74392	7.28612
1084	2.67507	11.1765
1727	25.1983	105.279
2384	8.08751	33.7897
1115	0.951074	17.4959
14	272.667	155.62
2540	1.74407	0.995396
732	10.0047	5.71001
1964	6.86628	3.91881
1434	104.485	59.6332
2931	127.188	72.5902
1546	73.241	41.801
1747	11.0067	6.28188
702	3.32629	19.0964
2619	6.07448	34.8738
681	0.825732	4.74057
2456	0.746784	4.28732
437	2.34434	17.0369
3044	3.89918	28.3364
882	0.910095	8.84902
1538	1.85794	18.065
1314	0.104351	1.15383
1750	1.09399	11.1844
500	9.9927	19.9338
2352	4.10397	8.18676
2043	19.8035	79.4617
569	18.3357	47.6903
1641	4.50104	11.707
775	17.9247	126.854
1083	1.02094	8.18388
1545	17.8245	10.173
2733	130.399	74.4229
2539	5.96161	5.86543
731	0.741703	0.741703
346	8.80876	5.02744
1307	217.949	124.39
2059	80.4497	45.9152
2675	76.5007	43.6614
344	154.496	88.176
1194	224.804	128.303
703	0.0775352	1.0126
2618	0.465712	5.9246
1663	0.179326	1.30321
3152	1.69674	12.3307
3043	0.567082	6.26817
881	0.351771	3.81417
1313	2.63507	15.9599
2016	13.5799	27.0897
3094	98.8346	197.159
2351	6.66912	31.673
179	13.9111	55.8185
1669	0.399142	1.60156
349	1.16973	9.3766
3287	0.402252	3.22447
1544	121.447	115.859
252	94.1234	53.7192
2328	96.6441	55.1579
797	16.1135	15.8536
1978	79.7868	78.4996
2426	0.678456	0.678456
2923	0.561301	0.561301
30	98.1383	56.0107
2971	157.014	89.613
701	0.246196	3.84969
1662	0.285215	2.72534
3151	0.851074	12.8892
68	0.134883	1.49091
2037	1.4853	16.4176
880	1.28186	10.7575
1417	42.4424	84.6659
2575	8.07985	16.118
3095	8.83857	31.7475
2350	1.10039	9.40354
178	0.765767	7.07493
1668	3.50149	20.8523
1019	0.174974	1.4026
1094	0.324933	2.60468
3286	0.146062	3.10173
483	131.771	125.708
1828	73.1996	69.8313
2327	11.1856	9.09169
609	77.8355	76.5798
2762	20.5249	20.1938
345	11.7777	6.7219
1920	363.456	207.436
1481	27.2032	15.5257
3423	98.0496	55.96
1661	1.20562	8.0944
67	0.327972	5.79957
879	0.306094	1.98143
1416	35.6586	101.905
2574	2.51314	12.0174
3096	9.22038	60.5248
2349	0.143699	1.21395
177	6.63453	40.1673
1670	4.27713	28.7801
1095	0.590028	1.76238
1500	218.844	208.774
2121	230.005	219.422
1967	66.7948	54.2912
2318	28.4844	23.1522
2900	78.7757	77.5049
3010	1.45292	1.42948
194	50.9045	29.0528
1342	46.8886	26.7608
685	94.8272	54.1209
979	76.1604	43.4672
63	1.92054	12.8943
180	2.47806	16.6375
1298	0.0422445	0.273461
1553	0.257276	1.66542
2326	4.51736	12.9097
3217	31.021	88.6517
2572	0.952909	8.38658
3093	6.18577	2.3285
1535	7.5047	63.3986
1557	1.35921	11.4824
176	0.0221823	0.363277
1667	0.635464	4.2609
1093	3.06837	8.1966
2163	150.818	143.878
2875	25.6602	24.4795
1499	20.1485	19.2213
3548	69.7212	66.513
1982	14.3856	11.6927
2648	17.0129	13.8282
2316	9.04485	15.9416
1367	61.9961	60.996
1368	70.3862	69.2507
2781	21.1717	12.0833
3388	136.864	78.1127
1297	0.044342	0.540529
1551	1.17841	4.78847
2	32.3421	92.4272
565	38.0917	108.858
648	27.8513	79.5933
888	5.70059	16.2911
2573	0.874158	9.04808
800	1.45195	0.546556
2980	1.14942	0.432674
574	0.313937	2.105
2686	2.83893	19.0356
309	2.07622	5.54623
643	0.494088	1.31987
1162	153.352	146.296
1370	171.346	163.462
1526	38.1107	36.3571
3419	114.098	108.848
3549	0.904797	2.14149
1906	32.1533	26.1344
3213	43.4359	35.305
2317	0.0793963	0.29532
141	74.97	42.7877
912	41.5264	23.7005
1296	0.0210624	0.232401
1552	1.72661	4.5845
1219	4.12898	11.7998
1748	9.57756	27.3707
887	39.466	206.296
2571	8.00989	69.287
2738	4.19687	1.57982
2981	3.99719	1.50465
299	0.609018	0.229252
3189	1.80564	0.679693
573	6.65439	45.4933
2685	2.86921	25.3601
308	15.1543	42.5944
642	6.72438	24.6195
1369	1.48071	1.48071
